3,19,7,31,7,5,14,0,19,7,13,23,7,18,13,1,14,9,16,45
11,15,9,19,0,9,16,12,11,5,1,37,22,8,11,9,23,16,9,5
0,27,4,9,7,11,53,9,11,11,9,7,11,5,11,11,7,5,1,6
10,1,5,10,24,45,1,12,1,29,5,11,28,9,10,3,14,10,9,11
7,16,14,24,0,19,16,4,8,8,15,8,19,10,9,5,3,15,1,8
4,1,5,4,13,10,3,11,5,5,7,6,7,4,22,14,4,21,14,8
24,7,8,7,17,7,7,14,17,12,0,27,15,24,17,13,14,4,25,7
29,0,6,21,7,6,12,15,12,13,3,7,10,1,11,6,22,30,7,11
0,5,6,11,5,11,29,11,11,10,11,10,10,11,15,5,11,1,10,10
1,11,9,87,36,5,0,9,9,18,5,11,6,11,10,9,9,43,9,9
8,6,6,18,6,3,13,16,16,7,1,6,15,17,12,6,0,6,35,8
18,37,8,3,9,0,14,4,6,9,11,9,16,9,15,6,1,1,27,9
19,22,3,19,6,7,21,19,11,10,1,6,21,1,11,7,10,6,19,7
23,5,8,3,15,1,49,9,6,11,1,22,97,2,7,8,9,43,43,23
17,13,7,9,3,7,7,7,13,6,9,9,6,7,7,17,6,3,0,1
7,11,8,0,3,8,31,16,5,7,15,11,6,8,61,16,8,11,1,7
9,9,9,15,9,7,14,1,5,9,15,9,9,49,17,5,0,25,8,18
7,29,8,15,1,15,9,0,87,12,11,4,8,14,8,29,15,43,12,7
19,11,10,11,9,10,9,19,10,12,8,11,6,9,6,12,4,9,5,11
23,9,8,10,8,6,11,12,15,5,11,15,10,7,4,0,7,23,8,9
8,39,1,8,1,6,19,8,11,21,11,6,6,1,5,11,77,19,8,7
20,1,21,25,10,11,3,10,19,6,1,0,12,11,13,13,11,13,5,12
