21,7,3,5,1,6,7,3,7,27,12,12,21,17,39,1,3,1,17,3
8,13,10,11,25,13,4,12,6,3,11,8,0,2,0,7,8,10,9,0
5,3,6,14,5,17,20,6,7,3,1,27,8,5,8,5,0,41,5,5
6,6,11,0,15,17,8,6,1,8,15,16,1,5,11,14,25,4,16,6
11,9,13,5,6,8,6,17,6,3,5,9,10,12,1,11,5,6,17,0
4,10,10,16,5,4,9,5,4,11,8,2,9,29,77,38,4,1,9,5
17,3,8,1,39,9,4,24,19,4,25,12,8,8,8,0,9,7,8,29
7,6,25,11,18,6,6,6,0,11,0,13,3,11,6,6,13,37,6,12
9,1,9,21,1,6,3,5,19,5,6,9,43,1,10,19,24,6,5,6
23,4,23,12,9,7,3,7,11,12,3,16,11,8,5,11,7,7,5,10
7,7,15,1,17,3,15,17,7,6,13,7,23,0,7,11,1,8,0,11
10,5,9,9,9,4,4,6,8,7,9,3,8,6,7,11,13,11,27,9
9,8,13,9,9,5,1,10,10,51,25,13,6,4,7,7,0,7,3,5
6,4,14,9,10,5,6,0,8,7,4,5,13,9,4,12,4,0,9,9
4,11,11,4,1,23,5,3,8,19,11,23,5,5,0,0,1,19,3,18
5,9,0,11,10,11,18,11,10,10,9,5,11,21,5,1,41,17,10,9
6,3,6,6,11,7,10,31,11,15,5,15,9,5,6,15,7,11,9,6
6,6,6,0,22,0,7,6,5,3,3,33,11,12,16,7,11,6,6,7
3,15,8,6,7,6,17,7,25,8,0,0,4,15,8,6,6,1,9,12
0,19,15,6,7,9,10,6,15,6,10,6,1,7,39,12,11,5,6,4
5,11,0,5,6,6,0,5,10,8,5,12,11,3,17,16,2,32,7,20
24,6,30,15,5,11,8,14,7,45,6,3,6,12,6,17,5,0,6,2
7,26,4,53,1,8,0,0,5,5,9,3,5,5,8,5,37,18,13,14
